x,y,z,e
f1000(u32),f1000(u32),f1000(u32),f1000(s64)
125.344,50.941,0.250,26.437
125.812,50.840,0.250,26.455
126.335,50.855,0.250,26.475
126.847,51.010,0.250,26.496
129.562,52.317,0.250,26.610
130.013,52.674,0.250,26.632
130.352,53.138,0.250,26.654
130.586,53.942,0.250,26.686
130.542,54.569,0.250,26.710
130.283,55.329,0.250,26.741
129.764,56.562,0.250,26.792
129.724,56.746,0.250,26.799
129.720,57.044,0.250,26.810
129.749,57.206,0.250,26.816
129.810,57.379,0.250,26.823
129.917,57.572,0.250,26.832
130.085,57.773,0.250,26.842
130.223,57.885,0.250,26.848
130.437,58.009,0.250,26.858
133.117,59.325,0.250,26.972
133.540,59.626,0.250,26.991
133.925,59.968,0.250,27.011
134.406,60.551,0.250,27.040
134.779,61.214,0.250,27.069
134.964,61.694,0.250,27.088
